String ID,Dev Notes / Context,Character Limit,Text
Join Green Army,"User Interface, interaction with NPC",1400,加入綠軍
Mmm... Tongue and eyes huh - NPC Dialogue,"User Interface, interaction with NPC",1400,嗯，舌頭和眼睛...這是獵人的傳統？\n好吧，士兵...我手下這些新兵蛋子會被嚇得做噩夢的。不過你做得對，這是老鼠應得的。\n我會把它們作爲對所有人的警告。
Mmm...Ok bye!,"User Interface, interaction with NPC",1400,嗯...好的，再見！
I can see you're a clever person - NPC Dialogue,"User Interface, interaction with NPC",1400,看得出來你是個聰明人，問這種問題時，千萬要小心...\n我只是不想讓你遇到什麼糟糕的事。
My brother Vadim and I have been tasked to guard the main door.,"User Interface, interaction with NPC",1400,我和我哥瓦迪姆奉命看守大門。
"My name is Akim Sokolov, but everyone calls me The Guide - NPC Dialogue","User Interface, interaction with NPC",1400,我叫阿基姆·索科洛夫，但大家都管我叫「嚮導」。\n我在扎科夫土生土長，很熟悉這個地方。需要幫忙指路的話，儘管找我。
My name is Henry Davies and I was in charge of the lab in Zakov.,"User Interface, interaction with NPC",1400,我是亨利·戴維斯，扎科夫實驗室的負責人。
"My name is Reynard, I am the commander of the Crimson Corporation forces stationed at Zakov.","User Interface, interaction with NPC",1400,我是雷納德，深紅公司駐紮科夫部隊的指揮官。
My name is Sacriel - NPC Dialogue,"User Interface, interaction with NPC",1400,我叫薩克雷爾，剛來地堡不久。\n我還沒完全適應這裡，但要做好準備，大約一個月後就給你安排任務。
My name is Viktor Artemovich - NPC Dialogue,"User Interface, interaction with NPC",1400,我是維克托·阿爾捷莫維奇，綠軍的指揮官。\n災難發生時，我們奉命來保護平民和控制局勢。沒想到的是，幾天後，地區周邊出現了一道古怪的屏障，隔絕任何人進出。\n我們動用了一切手段試圖建立無線電通訊，但全都無濟於事。\n外界根本沒人知道這裡面究竟發生了什麼。
My name is Viktor Korolev - NPC Dialogue,"User Interface, interaction with NPC",1400,我叫維克托·科羅廖夫，但大家都管我叫「醫生」。我以前是扎科夫醫院的醫生和研究員。\n爆炸發生後，政府授權我成立一個部門來研究生物的變異。\n項目不愁經費，這值得高興...成千上萬的人在爆炸中喪生，或許高興也不合適。\n不過我又有什麼辦法呢？總之就是撞大運了。
"My name is not important, I'm just a Hunter like you - NPC Dialogue","User Interface, interaction with NPC",1400,我的名字不重要，大家同行而已。\n我在這一帶混了很久。\n憑着以往的經驗值，到處溜達跟散步一樣輕鬆。
Next step,"User Interface, interaction with NPC",1400,繼續
Not much. But orders are orders...,"User Interface, interaction with NPC",1400,還行吧。但命令就是命令...
"Not much... As you can see, this crystal is different from the others - NPC Dialogue","User Interface, interaction with NPC",1400,沒多少……這塊晶體與衆不同，會釋放極強的輻射，多虧了密封設施我們才安然無恙。\n目前還沒弄清釋放的頻率，更別提其本質了。\n不過這輻射確實邪門，似乎帶點催眠效果。我幹這行以來還是頭回見。\n來扎科夫之前，聽說烏克蘭某座廢棄核電廠裏也有類似的地方和晶體，再多的就不知道了。\n那邊傳出的情報寥寥無幾，不過扎科夫這邊同樣也是消息封閉。\n真是暴殄天物，要是能有充足的資源和專業裝置，天知道能發現什麼。\n我最好還是閉嘴吧，這種想法可不受待見，免得被大頭兵聽見找麻煩。
"Nothing in particular, some days I need to get fresh air.\nLiving in the bunker all the time is not easy.","User Interface, interaction with NPC",1400,沒什麼特別的，出來呼吸新鮮空氣。\n一直待在地堡里老難受了。
"Now that you have killed several Green Army soldiers you have shown them that you mean business.\nI propose something to you: talk to Artemovich and see the possibility of having a Crimson Corporation trader inside the bunker.\nNo matter how much our factions are fighting, the ZERO Sievert bunker is still a safe zone.\nIt was not decided by my leaders or even the local government, there are international agreements regarding that bunker.\nThe only way for us to access it would be through force but there are too many civilians in the bunker and having dead civilians is not a wise political move.\nSo, talk to Artemovich and find a compromise. Having a trader in the ZERO Sievert would also benefit our pockets.","User Interface, interaction with NPC",1400,擊殺了綠軍的幾名士兵，也算是讓他們見識到你不好惹了。\n給你個建議：和阿爾捷莫維奇聊聊，看能不能讓深紅公司的商人進駐地堡。\n無論陣營之間如何交戰，零希沃特地堡仍然是安全區。\n這並非由我的上司甚至當地政府決定，而是這個地堡受相關的國際協議保護。\n我們想進去的話只能硬闖，但地堡裏的平民太多了，造成平民傷亡在政治層面上絕非明智之舉。\n所以去和阿爾捷莫維奇聊聊吧，找個折中的辦法。零希沃特地堡裏多個商人的話，能讓我們都賺上一筆。
"Npc can give you usefull information, task and trade with you.","User Interface, interaction with NPC",1400,NPC 可以提供有用的信息和任務，或者和你交易。
Of any kind. People come in here - NPC Dialogue,"User Interface, interaction with NPC",1400,什麼樣的都有。\n人們只需告訴我想要什麼。我的工作就是尋找願意爲了報酬而去冒險的傢伙。
Of course it is! No mutant or bandit has ever walked through that door.,"User Interface, interaction with NPC",1400,廢話，怪物和強盜永遠通過不了這道大門。
"Oh! Oh! Beautiful, isn't it - NPC Dialogue","User Interface, interaction with NPC",1400,噢！噢！很漂亮，對不對？\n「垃圾」先生從一個孩子身上拿到的。噢！「垃圾」先生沒有偷！不！不！「垃圾」先生不偷東西！\n那孩子穿着這身漂亮衣服，但幸運的是他死了。對，死了。多麼美好的一天！\n「垃圾」先生拿走了衣服，現在它只屬於「垃圾」先生了！只屬於他一個人！
Oh! This place is beautiful - NPC Dialogue,"User Interface, interaction with NPC",1400,噢！這地方很漂亮！聽「垃圾」先生說！\n大爆炸後，他們把我們帶到這裡來，路上有很多人在嘔吐。\n他們很快就死了，所以「垃圾」先生拿走他們的東西，但其他人不同意，對「垃圾」先生很不好。\n「垃圾」先生不明白，他們死了，他們要這些漂亮的寶貝有什麼用呢？\n所以「垃圾」先生就藏在這裡，有時出去尋找寶貝，漂亮的寶貝。\n「垃圾」先生看到的活人越來越少，死人越來越多，對，對。\n所以「垃圾」先生可以拿走他們的東西而不會有人生氣了。
"Oh, so you wanna be a Hunter - NPC Dialogue","User Interface, interaction with NPC",1400,想當獵人？出去搜刮物資的人都叫這個。\n去跟列車旁邊的列車長談談吧。\n想多瞭解各個區域就去找嚮導，通常能在地堡大門附近碰見他。\n祝你好運！
"On April 4, 2017, the plant exploded - NPC Dialogue","User Interface, interaction with NPC",1400,2017 年 4 月 4 日核電廠發生爆炸。沒人知道當時究竟怎麼回事，但絕對跟赤紅公司脫不了干係。\n官方聲稱沒搞危險實驗，可惜根本沒人信。\n有膽的話可以親自去問問，他們在工業區有個基地。\n不過別抱太大希望，估計也套不出什麼實話。
"Once you are ready, turn on the lights","User Interface, interaction with NPC",1400,準備好了就打開燈。
"Once you are ready, turn on the lights.","User Interface, interaction with NPC",1400,準備好了就打開燈。
Pay 5000 roubles to pass,"User Interface, interaction with NPC",1400,5000盧布，我就放行。
Priviet comrade! Do you wanna buy something?,"User Interface, interaction with NPC",1400,你好，同志！想買點什麼嗎？
Priviet comrade! How can I help you?,"User Interface, interaction with NPC",1400,你好，同志！有什麼能幫你的嗎？
Recently helicopters have crashed near the swamp - NPC Dialogue,"User Interface, interaction with NPC",1400,最近有幾架直升機在沼澤附近墜毀，這些是機組人員的屍體...\n天哪，他們遭遇了什麼？！\n跟醫生談談，也許他能告訴你什麼。
Refill hunger and thirst,"User Interface, interaction with NPC",1400,吃飯
Repair armor,"User Interface, interaction with NPC",1400,修理護甲
Repair equipment,"User Interface, interaction with NPC",1400,修理裝備
So do you want to join us? That would be a wise choice Hunter - NPC Dialogue,"User Interface, interaction with NPC",1400,你想加入我們？一個明智的選擇，獵人！\n你可以幫助我們對抗綠軍，並加強我們對這個地區的控制。下次你再來找我，我一定會給你安排工作的。\n\n\n確定要加入深紅公司嗎？\n你在這個陣營的聲望上限將變爲1000，允許你解鎖新的裝備和額外的任務。\n你將成爲綠軍的敵人。
So it was you? Good job Hunter - NPC Dialogue,"User Interface, interaction with NPC",1400,原來是你？幹得好，獵人！\n那些食屍鬼一直在殺我的人。\n深紅公司非常感謝你。
So that's your brother Vadim?,"User Interface, interaction with NPC",1400,那是你哥瓦迪姆？
So they want me dead - NPC Dialogue,"User Interface, interaction with NPC",1400,他們想要我死？哈！\n我知道這一天遲早會來，綠軍不會容忍我這麼一塊絆腳石。\n他們命令你來幹這個？\n那麼，你到底是獵人還是士兵？\n隨你的便吧，我已經又老又糊塗了，可我僅剩的這點體面不允許我向你開口求饒。
So you want a Crimson Corporation trader - NPC Dialogue,"User Interface, interaction with NPC",1400,你想讓深紅公司的人進地堡來？\n真該死！這個提議簡直令人作嘔。\n薛帕德擅長玩弄政治，但他十足十是個蠢貨！我一點也不在乎外面的世界發生了什麼，我有我的職責。\n\n我接受你的提議，可你，獵人，你不再是綠軍的夥伴。交易和任務依然有效，但不要指望我的士兵會在外邊幫你。\n滾吧，等你回來的時候就能看到那羣得志的小人了。
So you want to enlist - NPC Dialogue,"User Interface, interaction with NPC",1400,你想參軍？非常好，獵人！\n我正需要你這樣經驗值豐富的好手。下次你再來找我，我看看能不能給你找點活幹。\n\n\n確定要加入綠軍嗎？\n你在這個陣營的聲望上限將變爲1000，允許你解鎖新的裝備和額外的任務。\n你將成爲深紅公司的敵人。
Sorry comrade! I have something else to do,"User Interface, interaction with NPC",1400,對不起，同志！我還有別的事要做。
Tell me more about The forest,"User Interface, interaction with NPC",1400,跟我講講森林
Tell me more about The industrial area,"User Interface, interaction with NPC",1400,跟我講講工業區
Tell me more about The makeshift camp,"User Interface, interaction with NPC",1400,跟我講講臨時營地
Tell me more about old nuclear power plant,"User Interface, interaction with NPC",1400,跟我講講舊核電廠
Tell me more about other areas,"User Interface, interaction with NPC",1400,跟我講講其他地區
Tell me more about the Green Army,"User Interface, interaction with NPC",1400,跟我講講綠軍
Tell me more about the nuclear plant disaster,"User Interface, interaction with NPC",1400,跟我講講核電廠的事
Tell me more about the old nuclear power plant,"User Interface, interaction with NPC",1400,跟我講講舊核電廠
Tell me more about your faction,"User Interface, interaction with NPC",1400,跟我講講你們
Tell me something,"User Interface, interaction with NPC",1400,我想問些事情
Tell me something dickhead,"User Interface, interaction with NPC",1400,屌毛，我問，你答
That's because you're from the ZERO Sievert bunker - NPC Dialogue,"User Interface, interaction with NPC",1400,那是因爲你來自零希沃特地堡，早就被綠軍洗腦了。\n按協議他們根本不該進駐紮科夫，只不過爆炸後局勢惡化。\n他們便打着疏散居民的幌子進來，卻賴着不走想查明事發原因。\n明面上說是保護倖存者，全都是扯淡。\n我們早就截獲了好幾段他們指揮官的無線電通話。\n不知道他們指望能查出什麼，反正這邊也沒什麼好藏着掖着的……
The Green Army is a delegation - NPC DIalogue,"User Interface, interaction with NPC",1400,綠軍是本地陸軍的分支。\n在屏障出現並隔絕通訊後，我決定繼續執行上級的命令。我們盡一切努力讓這裡的文明之火不至於熄滅。\n有人說我們已經變成了一個獨裁政權，但事實是我們必須動用武力來維持秩序。無法想象沒有我們的話這個地方會變成什麼樣子。
The only way to leave the map is to find an extraction point - NPC Dialogue,"User Interface, interaction with NPC",1400,撤離點是唯一的途徑。\n它們在個人終端地圖上顯示爲綠色圓圈。\n祝你好運！
There's Mr. Junk's treasure - NPC Dialogue,"User Interface, interaction with NPC",1400,那是「垃圾」先生的寶貝！別盯着它看！\n「垃圾」先生會不高興的！\n別打開那扇門！不！不！不！\n你敢！
"They proceed slowly, to my chagrin - NPC Dialogue","User Interface, interaction with NPC",1400,進展非常緩慢。\n開始時，我們興奮地離開地堡展開採樣收集工作，但一下子就失去了過半的小隊。之後也很難找到願意冒險的人。\n願意出去的都是想撈一筆的普通人，可我需要的是受過良好教育和頭腦靈活的傢伙。
"This area is reserved for the Green Army, you do not have authorization.","User Interface, interaction with NPC",1400,這是綠軍控制的地堡區，你沒有得到授權。
"This area is restricted, you do not have permission to pass.\nYou have to pay 5000 roubles every time you want to access.","User Interface, interaction with NPC",1400,這裡是禁區，你沒有得到授權。\n你每次通過都得付5000盧布。
This is Grigoriy! He was the only nice child with Mr. Junk - NPC Dialogue,"User Interface, interaction with NPC",1400,這是格里戈里！他是「垃圾」先生唯一的朋友。\n他和「垃圾」先生一起長大，他們一起去尋找寶貝。\n有一天，格里戈里發現了一個漂亮的寶貝，但「垃圾」先生想據爲己有。格里戈里非常生氣，把寶貝緊緊地握在手裏。\n人人都說「垃圾」先生是傻瓜，但「垃圾」先生知道頭是人的弱點，所以「垃圾」先生拿起一塊石頭，朝格里戈里的頭砸了幾下。\n對，對，「垃圾」先生聰明。\n「垃圾」先生很高興，因爲他得到了寶貝，但也很傷心，因爲格里戈里再也不動了。\n從那天起，「垃圾」先生再也不拿別人的東西了。不！\n不！不！
"This is my current base, I usually move around - NPC Dialogue","User Interface, interaction with NPC",1400,我在考慮何時搬家。搬家對我來說是常事，但這裡有家的感覺。我是說真正的家。\n哦，就像過去的美好時光...
This is the Zero Sievert - NPC Dialogue,"User Interface, interaction with NPC",1400,這裡是零希沃特，一個建立於冷戰時期的舊地堡，扎科夫唯一的安全區。\n在這裡你可以找到你需要的一切：裝備，補給和任務。
WHY? Look where we live now - NPC Dialogue,"User Interface, interaction with NPC",1400,爲什麼？看看我們現在生活的地方。\n我是扎科夫一家工廠的廠長。事故發生時，我沒能及時離開。現在我被困在這裡，和這些骯髒的傢伙在一起。
We are trying to find out what happened - NPC Dialogue,"User Interface, interaction with NPC",1400,我們正在努力調查災難的真相。\n核電廠的爆炸發生在一次常規實驗期間。我們只知道這些，因爲所有參與者都當場死亡，網絡也癱瘓了，我們甚至無法恢復數據。\n士兵是來保護我們的，你看到那些變異的野生動物了嗎？\n我們必須組織一支小隊去核電廠，但那裏充滿了輻射和異常，非常危險。
We come from a small town in Siberia.\nJoining the army was the only way to escape from that life.,"User Interface, interaction with NPC",1400,我們來自西伯利亞的一個小鎮。\n參軍是逃離那裏的唯一途徑。
"Well well, a hunter. What do you want from the crimson Corporation?","User Interface, interaction with NPC",1400,好吧，獵人，你想從深紅公司得到什麼？
What a beautiful... costume I guess?,"User Interface, interaction with NPC",1400,你這一身…還挺好看？
What are you doing here all alone?,"User Interface, interaction with NPC",1400,你一個人在這裡做什麼？
What are you doing here?,"User Interface, interaction with NPC",1400,你在這裡做什麼？
What are you doing out here?,"User Interface, interaction with NPC",1400,你在這裡做什麼？
Aren't you scared to be out here?,"User Interface, interaction with NPC",1400,你跑到這裡來不害怕嗎？
What can you tell me about an old nuclear power plant in Ukraine?,"User Interface, interaction with NPC",1400,你能跟我講講烏克蘭的舊核電廠嗎？
What can you tell me about this area?,"User Interface, interaction with NPC",1400,你能跟我講講這個地方嗎？
What did you discover?,"User Interface, interaction with NPC",1400,你發現了什麼？
What do you mean? Oh! Oh - NPC Dialogue,"User Interface, interaction with NPC",1400,什麼意思？噢！對！對！\n「垃圾」先生是誰？嗯...\n「垃圾」先生是誰？噢！「垃圾」先生的名字是「垃圾」先生！對，因爲人們都這麼叫他。\n因爲「垃圾」先生喜歡收集寶貝。\n「垃圾」先生不懂，你應該問問他們，但「垃圾」先生認爲他們現在都死了。\n對！對！死了！死了！
What do you want?,"User Interface, interaction with NPC",1400,你想要什麼？
What does Crimson Corporation have to do with the accident?,"User Interface, interaction with NPC",1400,深紅公司和這次事故有什麼關係？
What does the Crimson Corporation do?,"User Interface, interaction with NPC",1400,深紅公司是做什麼的？
What happened at Zakov,"User Interface, interaction with NPC",1400,扎科夫發生了什麼？
What happened to those people in the beds?,"User Interface, interaction with NPC",1400,那些躺在牀上的人是怎麼回事？
What happened?,"User Interface, interaction with NPC",1400,發生了什麼？
What is that thing that looks like a person?,"User Interface, interaction with NPC",1400,那個看起來跟人一樣的玩意兒是什麼？
What is the Crimson Corporation?,"User Interface, interaction with NPC",1400,深紅公司？
What is the plan?,"User Interface, interaction with NPC",1400,計劃是什麼？
What is this place,"User Interface, interaction with NPC",1400,這是什麼地方
What is your relationship with the Green Army?,"User Interface, interaction with NPC",1400,你們和綠軍是什麼關係？
What kind of tasks can you give me?,"User Interface, interaction with NPC",1400,你會給我什麼任務？
What the hell is that big crystal?,"User Interface, interaction with NPC",1400,那個水晶到底是什麼鬼？
What the hell is that purple crystal?,"User Interface, interaction with NPC",1400,那紫色水晶到底是什麼鬼？
What was this place like before the disaster?,"User Interface, interaction with NPC",1400,災難發生前這個地方是什麼樣兒的？
What's behind that door?,"User Interface, interaction with NPC",1400,那扇門後面是什麼？
What's the point of talking to npc?,"User Interface, interaction with NPC",1400,跟 NPC 聊天有什麼意義？
When do we start?,"User Interface, interaction with NPC",1400,我們什麼時候開始？
Where are you from?,"User Interface, interaction with NPC",1400,你來自哪裏？
Where can I find some jobs?,"User Interface, interaction with NPC",1400,去哪裡找活幹？
Where can I find some tasks?,"User Interface, interaction with NPC",1400,我在哪能找到任務？
Where can I store my items?,"User Interface, interaction with NPC",1400,我的物品該存放在哪裡？
Where do you come from?,"User Interface, interaction with NPC",1400,你從哪裏來的？
Who am I? Who are you - NPC Dialogue,"User Interface, interaction with NPC",1400,我是誰？我還沒問你是誰，就這樣闖進我家！\n唉...抱歉，我不習慣有客人。\n我叫伊戈爾，以前是個獵人。哦，不是現在那些被稱爲獵人的傢伙。災難發生前，我靠着我不愛說話的莫辛老夥計和一把Toz-34以狩獵動物爲生。\n不，別打什麼歪主意。如果你要得到它們，就得先殺了我。
Who are you and why are you here?,"User Interface, interaction with NPC",1400,你是誰？在這裡做什麼？
Who are you?,"User Interface, interaction with NPC",1400,你是誰？
Who told you about this - NPC Dialogue,"User Interface, interaction with NPC",1400,誰告訴你的？好吧，算了。\n本來我是不讓說這個的，但看在你幫了我們這麼多的份上，我可以爲你破例一次。\n其實我知道的也不多。之前跟你說過，我原本只是個醫生和研究員。\n在他們疏散我們來這裡的路上，我聽到有幾位綠軍的高官說起幾年前烏克蘭也發生過類似事件：類似的異常，輻射對環境產生的變化。\n他們提到了一臺讓人發狂的機器和一幫打扮得像邪教的人。\n真是夠扯的，我當時根本不信。但等到聽到分析出的異常數據，我才明白真的有這回事。\n總之當意識到我在偷聽時，他們只是看着我，無動於衷，就好像他們知道我無論如何也不會離開這裡一樣...
Why all these soldiers? What are you still doing here?,"User Interface, interaction with NPC",1400,爲什麼有這麼多士兵？你們要在這裡做什麼？
Why am I always the only one doing these missions?,"User Interface, interaction with NPC",1400,爲什麼只有我一個人執行這些任務？
Why are you so rude?,"User Interface, interaction with NPC",1400,爲什麼這麼粗暴？
Why can't I go through?,"User Interface, interaction with NPC",1400,爲什麼不能過去？
"Yeah, he used to be nicer before he became an Army Special Agent - NPC Dialogue","User Interface, interaction with NPC",1400,是的。他在成爲陸軍特工前是個十分友善的人。他經歷過很多事情。\n他是將軍親自挑選來這裡的。當時他問我願不願意和他一起，我就答應了。\n我本以爲在這種特殊局勢下服役，能在軍中有個大好前程...\n結果我們一腳踏進了地獄的大門。
"Yes, no mutant or bandit has ever made it through that door","User Interface, interaction with NPC",1400,當然，怪物和強盜都別想通過這扇門！
"You're not a man of many words, I see.","User Interface, interaction with NPC",1400,你似乎不愛說話
"You're not the only one, you're just the one coming back alive right now - NPC Dialogue","User Interface, interaction with NPC",1400,你可不是唯一接活的人，你只是目前唯一活着回來的...\n看吧，這裡全都是自欺欺人的可憐蟲，幻想着有一天自己會被接走，回到曾經的家。\n家已經不存在了...\n大多數人只敢收集點物資，只有最勇敢或者說最不要命的人才會去幹你現在接的活。\n綠軍爲什麼不去解決這些破事兒？\n據我所知，他們接到的命令是控制住這個地區，尤其是杜絕有人去往外面的世界。
Any interesting news?,"User Interface, interaction with NPC",1400,有什麼有趣的消息？
"This is none of your business, Hunter?","User Interface, interaction with NPC",1400,這不關你的事吧，獵人？
"Well, obviously a little bit - NPC Dialogue","User Interface, interaction with NPC",1400,嗯...顯然還是有一點的。\n你的背後隨時可能冒出一頭食屍鬼。然而有什麼辦法呢？這就是扎科夫。
Nah! I am prepared!\nThe only thing that can scare me is running out of vodka! Haha,"User Interface, interaction with NPC",1400,不，我有充分的心理準備！\n唯一能嚇到我的就是伏特加喝完了！哈哈！
Well I'm sorry but I can't help you.\nI generally prefer to mind my own business.,"User Interface, interaction with NPC",1400,呃，很抱歉，沒有。\n一般來說，我只關注自己的事。
I heard that an old man lives in the Forest - NPC Dialogue,"User Interface, interaction with NPC",1400,森林裏住着一位老人。\n聽說他趕走了上門強行遷移平民的綠軍。\n太有膽量了！
Try to be careful if you go to the village - NPC Dialogue,"User Interface, interaction with NPC",1400,如果你準備去森林中央的村莊，一定要小心。\n我聽說最近有一幫強盜佔據了那裏。
"Sorry, I don't have any...","User Interface, interaction with NPC",1400,抱歉，沒有...
I heard that a strange guy lives in Makeshift Camp. I can't remember the name but they said he's kind of crazy.,"User Interface, interaction with NPC",1400,我聽說有個奇怪的傢伙躲在臨時營地。\n我不記得名字了，但他們說他瘋瘋癲癲的。
Yulian Borisov,NPCs,48,尤利安·鮑里索夫
Zhukov,NPCs,48,朱可夫
Tikhon,NPCs,48,季洪
Toma,NPCs,48,托馬
Trade,Trade with an NPC,48,交易
Vadim,NPCs,48,瓦迪姆
Vinogradov,NPCs,48,維諾格拉多夫
Vladimir,NPCs,48,弗拉基米爾
Osipov,NPCs,48,奧西波夫
Rostya,NPCs,48,羅斯佳
Sergeev,NPCs,48,謝爾蓋耶夫
Smirnov,NPCs,48,斯米爾諾夫
Spiridon,NPCs,48,斯皮里頓
Stepan,NPCs,48,斯捷潘
Task,"Synonym for quest, used in dialogue",48,任務
Solovev,NPCs,48,索洛維約夫
Pushkin,NPCs,48,普希金
Popo,NPCs,48,波波
Nikitin,NPCs,48,尼基京
Nikolaev,NPCs,48,尼古拉耶夫
Mr. Gears,NPCs,48,齒輪先生
Koloda,NPCs,48,科洛達
Kuzmin,NPCs,48,庫茲明
Lebedev,NPCs,48,列別傑夫
Ludmil,NPCs,48,盧德米爾
Lyosha,NPCs,48,廖沙
Makarov,NPCs,48,馬卡羅夫
Markus,NPCs,48,馬庫斯
Isidor,NPCs,48,伊西多爾
Inna,NPCs,48,伊娜
Iov,NPCs,48,伊奧夫
Ipatiy,NPCs,48,伊帕季
Frolov,NPCs,48,弗羅洛夫
Gedeon,NPCs,48,吉迪恩
Ermolai,NPCs,48,艾爾莫萊
Alexeev,NPCs,48,阿列克謝耶夫
Alyosha Egorov,NPCs,48,阿廖沙·葉戈羅夫
Anatolii,NPCs,48,阿納託利
Quest,"User Interface, quests",16,任務
completed,"User Interface, quests",16,已完成
completed!,"User Interface, quests",16,已完成！
Lights mode,"User Interface, lights mode",32,燈光模式
Lights timer,"User Interface, lights timer",32,燈光閃爍間隔
Lights 1 - color,"User Interface, lights color",32,1 號燈光顏色
Lights 2 - color,"User Interface, lights color",32,2 號燈光顏色
survived,"User Interface, exit screen",40,成功撤離
killed in action,"User Interface, exit screen",40,死亡
experience,"User Interface, exit screen",40,狩獵經驗值
Current,"User Interface, exit screen",40,目前
Next Level,"User Interface, exit screen",40,升級所需
skip,"User Interface, exit screen",40,跳過
Approx roubles made,"User Interface, exit screen",64,戰利品等值盧布
Killed by,"User Interface, exit screen",40,死於
Show difficulty settings,"User Interface, exit screen",64,顯示難度設定
Stash,Interfactions,48,儲藏
Talk,Interfactions,48,交談
Enter,Interfactions,48,進入
Interact,Interfactions,48,互動
Investigate,Interfactions,48,調查
Open,Interfactions,48,打開
Jam,Interfactions,48,卡殼
Fix,Interfactions,48,修復
Mark,NPCs,48,馬克
place analyzer,Interfactions,48,放置分析儀
Activate GPS,Interfactions,48,啟動 GPS
Open the valve,Interfactions,48,打開閥門
Place dynamite,Interfactions,48,放置炸藥
Turn on lights,Interfactions,48,開燈
Read,Interfactions,48,閱讀
Rip out the tongue and eyes,Interfactions,48,挖出舌頭和眼睛
Switch ON/OFF,Interfactions,48,開/關
Change color 1,Interfactions,48,更改 1 號燈光顏色
Change color 2,Interfactions,48,更改 2 號燈光顏色
Change mode,Interfactions,48,更改模式
Change timer,Interfactions,48,更改計時器
Give Milk,Interfactions,48,給牛奶
Fatigue,Player Status,48,疲勞
Well rested,Player Status,48,精力充沛
Not tired,Player Status,48,狀態良好
Sleepy,Player Status,48,睏乏
Tired,Player Status,48,疲倦
Very tired,Player Status,48,精疲力竭
Hunger,Player Status,48,飢餓
Full,Player Status,48,飽足
Not hungry,Player Status,48,狀態良好
Slightly hungry,Player Status,48,略感飢餓
Hungry,Player Status,48,飢餓
Starving,Player Status,48,飢餓難耐
Thirst,Player Status,48,口渴
Well hydrated,Player Status,48,水分充足
Not thirsty,Player Status,48,狀態良好
Slightly thirsty,Player Status,48,略感口渴
Thirsty,Player Status,48,口渴
Dehydrated,Player Status,48,脫水
Radiation,Player Status,48,輻射
Not irradiated,Player Status,48,無輻射
Slightly irradiated,Player Status,48,輕微輻射
Irradiated,Player Status,48,較高輻射
Dangerously irradiated,Player Status,48,危險輻射
Fatal irradiated,Player Status,48,致命輻射
MAP,PDA Icons,20,地圖
STAT,Player Status,20,狀態
SKILL TREE,Player Status,20,技能樹
BASE,Player Status,20,地堡
"Welcome to the bunker ZERO Sievert, one of the last safe places in Zakov",Tutorial,256,歡迎來到零希沃特地堡，這裡是扎科夫最後的安全地帶之一。
"In this place you'll be able to accept new missions, trade with vendors and manage your equipment.\nBefore you go out on a hunt I suggest you explore the bunker",Tutorial,256,你可以在這裡接受新任務，與商人交易並管理你的裝備。\n在你出發狩獵前，我建議你先探索一下地堡。
"Go talk to the barman, he will surely have some quests to give you.\nAlso he will explain what happened at Zakov",Tutorial,256,去和酒保談談，他肯定有一些任務要交給你。\n他還會向你解釋扎科夫發生了什麼。
"In order to leave the bunker and go on a hunt, you need to talk to the train conductor.\nHe is located to the south, outside the bunker. Before leaving ask him a few questions, he will explain how to extract from the maps",Tutorial,256,要離開地堡狩獵，你需要和列車長談談。\n他就在地堡外。出發前記得找他聊聊，他會向你解釋如何從地圖上撤離。
"There is a room in the bunker that you can use as a base, to the left of the barman.\nYou'll be able to use the workstation to craft new items, use the crates as storage, and build modules.",Tutorial,256,地堡內吧檯左邊有一個房間，你可以將其當成基地。\n你可以使用工作臺製作新物品，使用箱子存儲物品，安裝各種模組。
"By accessing your personal device [J] you will be able to see your position, current missions, install new modules and other things.",Tutorial,256,訪問你的個人終端[J]，查看地圖和任務，規劃模組安裝以及使用其他功能。
"Press [TAB] to access your inventory and equip the backpack.\nIf you need information on the game mechanics, consult the tutorial by pressing [ESC].\nGood luck hunter!",Tutorial,256,按[TAB]進入背包並裝備背包。\n如果你需要了解更多遊戲機制，請按[ESC]查看教學。\n祝你好運，獵人！
Scientists,Factions,24,科學家
Loners,Factions,24,獨行俠
Bandit,Factions,24,強盜
Player,Factions,24,玩家
MAX HP,Injector stats,16,最大生命值
HP Regen/s,Injector stats,16,生命值恢復/秒
HP Regen,Injector stats,16,生命值恢復
Health,Injector stats,16,生命值
Bleed,Injector stats,16,出血
Bleed Rec,Injector stats,16,出血恢復
Bleed Rec/s,Injector stats,16,出血恢復/秒
bleed immune,Injector stats,16,出血免疫
max stamina,Injector stats,16,最大耐力
Stamina Regen/s,Injector stats,16,耐力恢復/秒
Rad Regen/s,Injector stats,16,輻射恢復/秒
Rad Defence,Injector stats,16,輻射防禦
Hunger/s,Injector stats,16,飢餓恢復/秒
Thirst/s,Injector stats,16,口渴恢復/秒
Min Dur.,Item Stats,16,耐久下限
Max Dur.,Item Stats,16,耐久上限
Cond. Gain,Item Stats,16,耐久恢復
Hold ctrl while dragging an item to divide its quantity,Loading screen tips,256,拿起物品並按住[Ctrl]拖放以分開
Scroll mouse wheel to select a different interaction option,Loading screen tips,256,滾動滑鼠滾輪選擇不同的互動選項
Hold ctrl and click an item to move it quickly,Loading screen tips,256,滾動滾輪以選擇不同的互動選項
Weapons can be modded only in the bunker,Loading screen tips,256,武器只能在地堡中改裝
Hunger and thirst do not decrease in the bunker,Loading screen tips,256,在地堡中，飢餓和口渴不會加劇
